line:  81, column: 40, Error: Missing definition for symbol 'VerwechselungsPosition'
line: 126, column:  1, Warning: Rule "VerwechslungsPosition" is not connected to parser root "Artikel" !
line: 128, column:  1, Warning: Rule "Confunditur" is not connected to parser root "Artikel" !
line: 129, column:  1, Warning: Rule "VerwechselungsVariante" is not connected to parser root "Artikel" !
line: 130, column:  1, Warning: Rule "Verwechselung" is not connected to parser root "Artikel" !
line: 188, column:  1, Warning: Rule "VerweisZiel" is not connected to parser root "Artikel" !
line: 204, column:  1, Warning: Rule "DEU_GROSS" is not connected to parser root "Artikel" !
line: 205, column:  1, Warning: Rule "DEU_KLEIN" is not connected to parser root "Artikel" !
line: 208, column:  1, Warning: Rule "GROSSSCHRIFT" is not connected to parser root "Artikel" !
line: 212, column:  1, Warning: Rule "SATZZEICHEN" is not connected to parser root "Artikel" !
line: 216, column:  1, Warning: Rule "ERW_FREITEXT" is not connected to parser root "Artikel" !
line: 233, column:  1, Warning: Rule "RZS" is not connected to parser root "Artikel" !
line: 240, column:  1, Warning: Rule "NIEMALS" is not connected to parser root "Artikel" !
line: 242, column:  1, Warning: Rule "DUMMY" is not connected to parser root "Artikel" !
