Sigle;Kurztitel;Kurzautor;Jahr;Autor;Titel;Titelzusatz;Publikationsinfos;Bemerkungen
Hilarius;Liber de synodis;Hilarius von Poitiers;1715;Hilarius von Poitiers;Liber de synodis seu fide orientalium;Err:509;Paris 1845;
Aelius;;Aelius;;Aelius, Spartianus;Historiae Augustae scriptores;;;
Aeschines1;;Aeschines;1766;Aeschines Socraticus;Aeschinis Socratici;Dialogi tres Graece. Edidit Joannes Fridericus Fischerus.;Lipsiae 1766;
Aeschines1a;;Aeschines;1783;Aeschines Socraticus;Des sokratischen Philosophen Aeschines Drey Gespräche.;Von der Tugend, Vom Reichthum und Vom Tode. Nebst Plato's Krito aus dem Griechischen übersetzt u. hrsg. von Joh. Mich. Heinze.;Dessau, Leipzig 1783;
Anonym1;;Anonymus;1751;Anonymus;Observations on the Conduit and Charakter of Judas Ischariot, 2. Ausg.;;Edinburgh 1751;schwierig überprüfbar, da Anonym
Antonius1;;Antonius;1740;Antonius Von Florenz, Hl.;Sancti Antonini Archiepiscopi Florentini Ordinis Praedicatorum Summa Theologica In Quattuor Partes Distributa : Ad vetustiores libros exacta, et ab innumeris mendis correcta, \& posterioribus Conciliorum, praesertim Tridentini, ac Pontificum Romanorum decretis in adnotationibus ad calcem paginarum subjectis, aliisque observationibus \& Praelectionibus illustrata, Vita Auctoris, \& indicibus rerum praecipue moralium locupletissimis aucta.;;Veronae 1740;
Aristoteles;;Aristoteles;;Aristoteles;Politik.;;;
Athanasius1;;Athanasius;1777;Athanasius;Symbolum;, in: Opera quae extant omnia, Hg. Giustiniani, 4 Bde.;Patavium 1777;
Athanasius2;;;1777;Athanasius;Breviarium;, in: Opera quae extant omnia, Hg. Giustiniani, 4 Bde.;Padua 1777;
Athenagoras1;;Athenagoras;;Athenagoras;Legatio pro Christianis;[Apologie des Christentums aus dem Jahre 177, unbekannte Ausgabe].;;
Augustinus1;De civitate Dei;Augustinus;1841;Augustinus, Aurelius;De civitate Dei contra paganos libri XXII;, in: Sancti Aurelii Augustini, Hipponensis Episcopi, Opera omnia, tom. 7, Patrologiae cursus completus, Ed. J.-P. Migne, series latina.;Paris 1841;
Augustinus2;De doctrina Christiana;Augustinus;1781;Augustinus, Aurelius;De doctrina Christiana libri quattuor;, in: Opera omnia, tom. 3.;Dilingae 1781;P (Edition?)
Augustinus2a;De doctrina Christiana;Augustinus;1841;Augustinus, Aurelius;De doctrina Christiana Iibri quattuor;, in: Sancti Aurelii Augustini, Hipponensis Episcopi, Opera omnia, tom. 3, Patrologiae cursus completus, Ed. J.-P. Migne, series latina.;Paris 1841;
Augustinus2b;De incarnatione;Augustinus;1781;Augustinus, Aurelius;De incarnatione;, in: Opera omnia.;Dilingae 1781;P (Edition? Band?)
Augustinus3;;Augustinus;;Augustinus, Aurelius;Sancti Aurelii Augustini Hipponensis Episcopi Operum tomus 9, continens Opuscula Polemica, Adversus Donatistas: Opera et studio monachorum ordinis Sancti Benedicti e congregatione Sancti Mauri.;;Venetiis 1733;
Augustinus3a;Contra Donatistas;Augustinus;1841;Augustinus, Aurelius;Opera polemica contra Donatistas, in: Sancti Aurelii Augustini, Hipponensis Episcopi, Opera omnia, tom. 3, Patrologiae cursus completus, Ed. J.-P. Migne, series latina.;;Paris 1841;
Augustinus4;;Augustinus;1700--1701;Augustinus, Aurelius;Sancti Aurelii Augustini Hipponensis episcopi Operum tomus sexundus, sextus et octavus, in: Opera et studio monachorum Ordinis sancti Benedicti à Congregatione Sancti Mauri, Editio nova à multis mendis purgata.;;Antwerpiae 1700--1701;
Augustinus4a;De symbolo sermo ad catechumenos;Augustinus;;;;;;
Augustinus4b;Contra epistolam Manichaei;Augustinus;;;;;;
Augustinus4c;Ad inquisitiones Januarii Liber secundus seu Epistola LV;Augustinus;;;;;;
Augustinus5;De trinitate;Augustinus;1621--1700;Augustinus, Aurelius;De trinitate libri XV, in: Opera, Maurinerausgabe, 11 Bände.;;Paris 1621--1700;Augabe nicht gefunden
Augustinus6;Contra Iulianum;Augustinus;;Augustinus, Aurelius;Contra Iulianum haeresis Pelagianae Defensorem libri sex.;;;
Augustinus7;De cura;Augustinus;;Augustinus, Aurelius;De cura pro mortuis gerendan.;;;
Bahrdt1;Ausführung des Plans;Bahrdt;1784;Bahrdt, Karl Friedrich;Ausführung des Plans und des Zweckes Jesu. In Briefen an Wahrheit suchende Leser.;;Berlin 1784;
Bailly1;Histoire de l'astronomie ancienne;Bailly;1775;Bailly, Jean Sylvain;Histoire de l'astronomie ancienne depuis son origine jusqu'à l'établissement de l'école d'Alexandrie.;;Paris 1775;
Bailly2;Histoire de l'astronomie moderne;Bailly;1785;Bailly, Jean Sylvain;Histoire de l'astronomie moderne depuis la fondation de l'école d' Alexandrie, jusqu'a l'époque de 1782;, nouvelle édition.;Paris 1785;
Basedow1;Versuch;Basedow;1766;Basedow, Johann Bernhard;Versuch für die Wahrheit des Christenthums als der besten Religion;, 2. Ausgabe.;Berlin u. a. 1766;
Basedow2;Praktische Philosophie;Basedow;1777;Basedow, Johann Bernhard;Praktische Philosophie für alle Stände.;;Dessau 1777;
Bayle1;Dictionnaire historique;Bayle;1773;Bayle, Pierre;Dictionnaire historique et critique;, ou Recherches sur la vie, le caractere, les moeurs \& les opinions de plusieurs hommes célebres, tirées des dictionnaires de mrs. Bayle et Chaufepié, ouvrage dans lequel on a receuilli les morceaux les plus agréables \& les plus utiles de ces deux auteurs [\ldots] Par M. de Bonnegarde. Tome premier [-quatrième].;La Haye et Francfort 1773;P
Bergier1;Traité historique;Bergier;1780;Bergier, Nicolas Sylvestre;Traité historique et dogmatique de la vraie réligion avec la réfutation des erreurs, qui lui ont été opposées dans les différents siècles;12 Bde.;Paris 1780;
Bergier1a;Historische Abhandlung;Bergier;1798;Bergier, Nicolas Sylvestre;Historische und dogmatische Abhandlung von der wahren Religion, nebst Widerlegung der Irrthümer, welche derselben in den verschiedenen Jahrhunderten entgegengesetzt worden sind, 12 Bände.;;Böhmisch Budweis 1798;
Bergier2;La Certitude;Bergier;1768;Bergier, Nicolas Sylvestre;La Certitude des Preuves du Christianisme: ou Réfutation de l'Examen critique des Apologistes de In Réligion Chrétienne, 2 tom.;;Paris 1768;P
Bergier2a;Gewißheit der Beweise;Bergier;1786--1787;Bergier, Nicolas-Sylvestre;Gewißheit der Beweise des Christenthums, nach der dritten französischen Ausgabe übersetzet von P. Michael Lory, 2 Teile.;;Köln 1787;
Bibliothek1;Bolzano's Bibliothek;Anonymus;1849;Anonymus;Bolzano's Bibliothek; testamentarisch zugedacht Seiner Excellenz Herren Grafen Leo Thun von Hohenstein, von diesem wieder geschenkt dem wendischen Seminar zu St. Peter in Prag 1849. [Handschrift im Bolzano-Nachlaß Prag, Literární archív Pamáníku národního písemnictví, Sign. A I 25.];Prag 1849;konnte nicht gefunden werden
Bibliothek1a;Bolzano's Bibliothek;;2002;Bibliothek;Bolzano's Bibliothek;;, in: Bernhard Bolzanos Bibliothek, Hg. Berg / Morscher, Sankt Augustin: Academia 2002, 45--176.;
