Verzeichnis der Literaturverweise
Fn-Nr. 1, S. 51: Ficinus1
Fn-Nr. 2, S. 51: Vives1
Fn-Nr. 3, S. 51: Grotius1
Fn-Nr. 4, S. 51: Huet1
Fn-Nr. 5, S. 51: Calixtus1
Fn-Nr. 6, S. 52: Foster1
Fn-Nr. 7, S. 52: Stackhouse1
Fn-Nr. 8, S. 52: Houteville1
Fn-Nr. 9, S. 52: Houteville1a
Fn-Nr. 10, S. 52: Vernet1
Fn-Nr. 11, S. 52: Bergier1
Fn-Nr. 12, S. 52: Bergier2
Fn-Nr. 13, S. 52: Bergier1a
Fn-Nr. 14, S. 52: Bonnet1a
Fn-Nr. 15, S. 52: Lilienthal1
Fn-Nr. 16, S. 52: Basedow1
Fn-Nr. 17, S. 52: Jerusalem1
Fn-Nr. 18, S. 52: Less1
Fn-Nr. 19, S. 53: Less2
Fn-Nr. 20, S. 53: Muenter1
Fn-Nr. 21, S. 53: Muenter2
Fn-Nr. 22, S. 53: Kleuker1
Fn-Nr. 23, S. 53: Seiler1
Fn-Nr. 24, S. 53: Seiler2
Fn-Nr. 25, S. 53: Gazzaniga1
Fn-Nr. 26, S. 53: Gazzaniga2
Fn-Nr. 27, S. 53: Stattler1
Fn-Nr. 28, S. 54: Simon1
Fn-Nr. 29, S. 54: Mayr1
Fn-Nr. 30, S. 54: Storchenau1
Fn-Nr. 31, S. 54: Schwarzhueber1
Fn-Nr. 32, S. 54: Peutinger1
Fn-Nr. 33, S. 54: Sailer1a
Fn-Nr. 34, S. 54: Frint1a
Fn-Nr. 35, S. 66: Descartes1
Fn-Nr. 36, S. 66: Gellert1
Fn-Nr. 37, S. 81: Frint1
Fn-Nr. 38, S. 121: Salzmann1
Fn-Nr. 39, S. 121: Salzmann2
Fn-Nr. 40, S. 121: Salzmann3
Fn-Nr. 41, S. 121: Lossius1
Fn-Nr. 42, S. 121: Pichler1
Fn-Nr. 43, S. 121: Pavrizek1
Fn-Nr. 44, S. 121: Mutschelle1
Fn-Nr. 45, S. 131: Augustinus3
Fn-Nr. 46, S. 136: Kant1
Fn-Nr. 47, S. 136: Kant3
Fn-Nr. 48, S. 136: Kant2
Fn-Nr. 49, S. 169: Darjes1
Fn-Nr. 50, S. 189: Rousseau3
Fn-Nr. 51, S. 189: Basedow2
Fn-Nr. 52, S. 189: Platner1
Fn-Nr. 53, S. 212: Cicero1
Fn-Nr. 54, S. 213: Cicero8
Fn-Nr. 55, S. 213: Cicero7
Fn-Nr. 56, S. 213: Seneca4a
Fn-Nr. 57, S. 215: Ovidius2
Fn-Nr. 58, S. 216: Lactantius1
Fn-Nr. 59, S. 221: Augustinus6
Fn-Nr. 60, S. 221: Cicero6
Fn-Nr. 61, S. 221: Cicero1
Fn-Nr. 62, S. 233: Bayle1
Fn-Nr. 63, S. 233: Hume1a
Fn-Nr. 64, S. 234: Curtius1
Fn-Nr. 65, S. 234: Terentius1
Fn-Nr. 66, S. 234: Seneca2
Fn-Nr. 67, S. 234: Cicero1
Fn-Nr. 68, S. 235: LaMettrie1
Fn-Nr. 69, S. 235: Dholbach1
Fn-Nr. 70, S. 235: Wieland1
Fn-Nr. 71, S. 237: LaMettrie1
Fn-Nr. 72, S. 237: LaMettrie2
Fn-Nr. 73, S. 237: Cicero3
Fn-Nr. 74, S. 238: Seneca4a
Fn-Nr. 75, S. 238: Seneca4a
Fn-Nr. 76, S. 238: Cicero3
Fn-Nr. 77, S. 249: Jamblichus1
Fn-Nr. 78, S. 249: Rousseau1
Fn-Nr. 79, S. 252: Craig2
Fn-Nr. 80, S. 289: Fichte1
Fn-Nr. 81, S. 294: Teutscher1
Fn-Nr. 82, S. 295: Kant2
Fn-Nr. 83, S. 295: Anonym2
Fn-Nr. 84, S. 295: Anonym3
Fn-Nr. 85, S. 295: Anonym4
Fn-Nr. 86, S. 295: Anonym5
Fn-Nr. 87, S. 295: Kant6
Fn-Nr. 88, S. 295: Kant7
Fn-Nr. 89, S. 295: Kant5
Fn-Nr. 90, S. 296: Kant4
Fn-Nr. 91, S. 300: Anonym2
Fn-Nr. 92, S. 300: Anonym3
Fn-Nr. 93, S. 300: Anonym4
Fn-Nr. 94, S. 300: Anonym5
Fn-Nr. 95, S. 300: Schmerler1
Fn-Nr. 96, S. 300: Rousseau2
Fn-Nr. 97, S. 302: Schmid1
Fn-Nr. 98, S. 303: Fichte1
Fn-Nr. 99, S. 307: Less3
Fn-Nr. 100, S. 308: Tieftrunk1
Fn-Nr. 101, S. 308: Frint1
Fn-Nr. 102, S. 308: Kroll1
Fn-Nr. 103, S. 310: Lilienthal1
Fn-Nr. 104, S. 310: Kleuker1
Fn-Nr. 105, S. 310: Buddeus1
Fn-Nr. 106, S. 315: Nitzsch2
Fn-Nr. 107, S. 316: Nitzsch1
Fn-Nr. 108, S. 316: Grotius1
Fn-Nr. 109, S. 316: Kleuker1
Fn-Nr. 110, S. 321: Kant4
Fn-Nr. 111, S. 325: Bretschneider1
Fn-Nr. 112, S. 325: Muzel1
Fn-Nr. 113, S. 353: Tacitus1
Fn-Nr. 114, S. 353: Plinius1
Fn-Nr. 115, S. 373: DecretalesIsidori1
